% Graph saved at Mon Dec 09 2024 13:09:10 GMT+0100 (Central European Standard Time)
n 23.114583333333332 266.40625 0
n 177.11458333333331 436.64434523809524 1
n 175.94791666666666 268.7872023809524 2
n 329.9479166666667 269.97767857142856 3
n 584.5885940744907 512.6213518161218 4
n 481.6145833333333 335.45386904761904 5
n 175.94791666666666 130.69196428571428 6
n 646.1145833333333 268.7872023809524 7
n 411.8037839479084 125.48542948602473 8
n 286.64555609980715 397.3300896801995 9
n 664.3354295175287 496.8446527869956 10
n 583.4809991377819 49.02911880641308 11
e 3 5 0 8
e 3 4 1 20
e 4 5 2 1
e 2 3 3 26
e 1 4 4 13
e 1 3 5 10
e 0 2 6 1
e 0 1 7 38
e 1 2 8 8
e 4 7 9 7
e 5 7 10 7
e 3 7 11 1
e 6 7 12 27
e 3 6 13 24
e 0 6 14 2
e 4 2 15 2
e 8 6 16 0
e 8 3 17 0
e 2 9 18 0
e 9 4 19 0
e 10 4 20 0
e 7 10 21 0
e 5 10 22 0
e 7 8 23 0
e 8 5 24 0
e 5 9 25 0
e 9 1 26 0
e 2 6 27 0
e 6 9 28 0
e 11 4 29 0
e 4 0 30 0
e 8 11 31 0
e 7 11 32 0
